Metric,Scratch,Sklearn,Tuned Scratch
MAE,61.87251702194067,42.79409467959993,43.3209837981851
MSE,5010.353588276721,2900.1936284934804,2882.1214206320506
RMSE,70.78385118285611,53.85344583676592,53.685392991316085
R2,0.054320482670293435,0.4526027629719196,0.4560138030325389
